Dataset,SigmaRoute,ValidationMode,FoldID,ModelID,ModelClass,ParameterCount,TrainN,TestN,TestGridIndices,TestChi2,TestMeanChi2,TestMeanAbsResidual,ClaimBoundary
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_4,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,4,0.9162032135779045,0.9162032135779045,1.1283304373365015,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_4,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,4,0.25015655547851995,0.25015655547851995,0.5895848867405231,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_4,POLY_DEG2,overfit_risk_control,3,7,1,4,2.4015519241079217,2.4015519241079217,1.8267805912191712,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_4,POLY_DEG3,overfit_risk_control,4,7,1,4,1.636917880348456,1.636917880348456,1.5081823172278228,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_5,K1_NO_MEMORY,fair_null,0,7,1,5,1.5256640402568336,1.5256640402568336,1.2184426017376664,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_5,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,5,0.6954022432835667,0.6954022432835667,0.8226093924718897,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_5,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,5,0.06431400831871739,0.06431400831871739,0.25016607171315,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_5,POLY_DEG2,overfit_risk_control,3,7,1,5,1.5631687237765908,1.5631687237765908,1.2333278791788937,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_5,POLY_DEG3,overfit_risk_control,4,7,1,5,0.4250968122449733,0.4250968122449733,0.6431607669088737,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_6,K1_NO_MEMORY,fair_null,0,7,1,6,1.4744450660323687,1.4744450660323687,2.074765236312404,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_6,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,6,0.42480377946483633,0.42480377946483633,1.113650330558787,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_6,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,6,0.012248757438523373,0.012248757438523373,0.1891039852902714,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_6,POLY_DEG2,overfit_risk_control,3,7,1,6,0.7075014927822555,0.7075014927822555,1.4372037594950635,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_6,POLY_DEG3,overfit_risk_control,4,7,1,6,0.2736936643146685,0.2736936643146685,0.8938960874162563,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_7,K1_NO_MEMORY,fair_null,0,7,1,8,1.693825479644132,1.693825479644132,1.8247596189127955,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_7,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,8,0.7233473305580859,0.7233473305580859,1.192462615262471,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_7,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,8,0.08224449195974509,0.08224449195974509,0.4020913606995655,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_7,POLY_DEG2,overfit_risk_control,3,7,1,8,11.409663795508589,11.409663795508589,4.735957043753701,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,branch_scatter_diag,leave_one_out,loo_row_7,POLY_DEG3,overfit_risk_control,4,7,1,8,20.103788815001117,20.103788815001117,6.286519798003405,a2_polynomial_cv_no_measurement_validation
